Date,Open,High,Low,Close,Adj Close,Volume,Conversion,Baseline,SpanA,SpanB,Lagging,label,group,over_cloud,a_over_b,conv_over_base,price_over_conv,position,daily_return
2018-03-25,522.7030029296875,535.8209838867188,515.6589965820312,524.2869873046875,524.2869873046875,1151170048,534.6195068359375,675.0979919433594,842.5612640380859,1003.6495056152344,615.718017578125,0,3,-1,-1,-1,-1,-4,-0.004087916108852063
2018-03-26,524.2869873046875,526.3790283203125,470.44000244140625,489.95098876953125,489.95098876953125,1638880000,524.8475036621094,670.1950073242188,831.6045074462891,1003.6495056152344,605.39501953125,0,3,-1,-1,-1,-1,-4,-0.06549084636197922
2018-03-27,489.5899963378906,491.4590148925781,449.97100830078125,450.1159973144531,450.1159973144531,1617939968,519.7890014648438,663.1744995117188,816.1295013427734,1003.6495056152344,621.8599853515625,0,3,-1,-1,-1,-1,-4,-0.08130403319548385
2018-03-28,450.2909851074219,466.21099853515625,444.8609924316406,446.27899169921875,446.27899169921875,1514179968,517.2339935302734,657.3904876708984,812.1004943847656,1003.6495056152344,642.5479736328125,0,3,-1,-1,-1,-1,-4,-0.008524481773869996
2018-03-29,448.07501220703125,450.81298828125,385.81298828125,385.9679870605469,385.9679870605469,1970230016,487.7099914550781,627.8664855957031,812.1004943847656,1003.6495056152344,708.1580200195312,0,3,-1,-1,-1,-1,-4,-0.1351419308559343
2018-03-30,385.9049987792969,409.9289855957031,368.63299560546875,394.6449890136719,394.6449890136719,1878130048,473.0994873046875,619.2764892578125,855.2937316894531,1003.6495056152344,615.416015625,0,3,-1,-1,-1,-1,-4,0.022481144146713428
2018-03-31,395.0039978027344,418.4679870605469,392.9530029296875,396.4570007324219,396.4570007324219,1323920000,457.00750732421875,611.2250061035156,864.3539886474609,1003.6495056152344,662.8090209960938,0,3,-1,-1,-1,-1,-4,0.004591498103849512
2018-04-01,397.2539978027344,400.52801513671875,363.80499267578125,379.60699462890625,379.60699462890625,1256930048,454.593505859375,594.7059936523438,869.3362426757812,987.4895324707031,647.031982421875,0,3,-1,-1,-1,-1,-4,-0.04250147196893139
2018-04-02,379.6990051269531,395.1709899902344,377.5929870605469,386.42498779296875,386.42498779296875,1102259968,449.81298828125,568.7860107421875,833.0714874267578,982.5044860839844,683.677978515625,0,3,-1,-1,-1,-1,-4,0.017960662634068703
2018-04-03,387.31201171875,418.9679870605469,383.5320129394531,416.89300537109375,416.89300537109375,1363399936,445.0920104980469,555.9179992675781,816.3447418212891,933.5245056152344,688.8809814453125,0,3,-1,-1,-1,-1,-4,0.07884587834793066
